source,speaker,token,syllable,vowel,onset,offset,srate,TM_ms,TD_ms,TM,TD,DeltaHeightMax,LaLagTM,LaLagTD
2015_06_16_21_F_04_1_007_sync,F04,tab.l,onset,ae,4.340852367,4.605474568,100,445,448,4,4,11,-66,-65
2015_06_16_21_F_04_1_007_sync,F04,kib.l,onset,ih,8.103169112,8.30028565,100,818,818,8,8,19,-108,-108
2015_06_16_21_F_04_1_007_sync,F04,cal.b,coda,ae,13.80435067,14.06081518,100,1382,1388,14,14,19,-52,-51
2015_06_16_21_F_04_1_007_sync,F04,kil.b,coda,ih,15.56839754,15.80331725,100,1562,1562,16,16,15,6,6
2015_06_16_21_F_04_1_007_sync,F04,cab.l,onset,ae,17.80996536,18.09078892,100,1797,1795,18,18,18,0,-1
2015_06_16_21_F_04_1_007_sync,F04,tal.b,coda,ae,23.42956488,23.66178436,100,2347,2352,23,24,43,-195,-195
2015_06_16_21_F_04_1_007_sync,F04,al.b,coda,ae,25.42641875,25.71804322,100,2550,2555,26,26,19,65,66
2015_06_16_21_F_04_1_007_sync,F04,il.b,coda,ih,33.0094094,33.23420326,100,3308,3308,33,33,19,141,141
2015_06_16_21_F_04_1_007_sync,F04,tib.l,onset,ih,35.03874868,35.26016726,100,3514,3510,35,35,25,101,101
2015_06_16_21_F_04_1_008_sync,F04,cal.b,coda,ae,4.096564701,4.354436336,100,418,422,4,4,16,-118,-118
2015_06_16_21_F_04_1_008_sync,F04,il.b,coda,ih,7.920062918,8.18468512,100,806,807,8,8,16,-79,-79
2015_06_16_21_F_04_1_008_sync,F04,al.b,coda,ae,9.875903909,10.15672747,100,1007,1006,10,10,11,-9,-9
2015_06_16_21_F_04_1_008_sync,F04,tal.b,coda,ae,11.87587203,12.15129514,100,1201,1202,12,12,17,-50,-50
2015_06_16_21_F_04_1_008_sync,F04,kib.l,onset,ih,15.9245077,16.15942741,100,1609,1609,16,16,11,51,51
2015_06_16_21_F_04_1_008_sync,F04,tib.l,onset,ih,17.89747372,18.13509366,100,1806,1813,18,18,15,31,31
2015_06_16_21_F_04_1_008_sync,F04,cab.l,onset,ae,22.24145241,22.51687552,100,2247,2247,22,22,19,35,35
2015_06_16_21_F_04_1_008_sync,F04,cab.l,onset,ae,32.44475873,32.70398048,100,3265,3271,33,33,17,157,157
2015_06_16_21_F_04_1_009_sync,F04,tal.b,coda,ae,2.955316098,3.213187733,100,307,309,3,3,52,-489,-489
2015_06_16_21_F_04_1_009_sync,F04,tab.l,onset,ae,14.70765416,14.94122376,100,1488,1490,15,15,15,-1,-1
2015_06_16_21_F_04_1_009_sync,F04,tib.l,onset,ih,16.57801175,16.80888112,100,1675,1669,17,17,30,-133,-133
2015_06_16_21_F_04_1_009_sync,F04,cal.b,coda,ae,24.35774667,24.57916525,100,2444,2451,24,25,13,114,115
2015_06_16_21_F_04_1_009_sync,F04,cab.l,onset,ae,26.35198328,26.6490082,100,2660,2660,27,27,22,46,46
2015_06_16_21_F_04_1_009_sync,F04,il.b,coda,ih,28.26073633,28.51590773,100,2840,2839,28,28,14,144,144
2015_06_16_21_F_04_1_009_sync,F04,til.b,coda,ih,34.14150047,34.33861701,100,3428,3426,34,34,9,253,253
2015_06_16_21_F_04_1_009_sync,F04,al.b,coda,ae,36.08742743,36.36734408,100,3621,3623,36,36,14,222,222
2015_06_18_19_F_05_1_001_sync,F05,al.b,coda,ae,18.00908332,18.26689895,100,1818,1818,18,18,12,62,62
2015_06_18_19_F_05_1_001_sync,F05,kib.l,onset,ih,25.47749921,25.69641367,100,2567,2571,26,26,26,-3,-3
2015_06_18_19_F_05_1_001_sync,F05,tab.l,onset,ae,28.23348345,28.46841604,100,2835,2831,28,28,21,74,73
2015_06_18_19_F_05_1_001_sync,F05,til.b,coda,ih,30.5284869,30.72833216,100,3063,3062,31,31,23,76,76
2015_06_18_19_F_05_1_001_sync,F05,il.b,coda,ih,35.29080877,35.52650413,100,3540,3547,35,35,10,254,255
2015_06_18_19_F_05_1_001_sync,F05,tal.b,coda,ae,38.09366862,38.33088951,100,3828,3823,38,38,12,263,262
2015_06_18_19_F_05_1_001_sync,F05,til.b,coda,ih,41.03035894,41.25079894,100,4109,4118,41,41,12,291,292
2015_06_18_19_F_05_1_001_sync,F05,tab.l,onset,ae,43.59322864,43.82511015,100,4379,4381,44,44,36,78,78
2015_06_18_19_F_05_1_001_sync,F05,tib.l,onset,ih,51.10557417,51.35576212,100,5134,5126,51,51,21,303,303
2015_06_18_19_F_05_1_001_sync,F05,cal.b,onset,ae,55.97516464,56.29629003,100,5621,5613,56,56,12,442,441
2015_06_18_19_F_05_1_002_sync,F05,cab.l,onset,ae,10.09570394,10.32758546,100,1026,1029,10,10,32,-217,-217
2015_06_18_19_F_05_1_002_sync,F05,kil.b,coda,ih,12.46174439,12.7104068,100,1256,1261,13,13,15,-24,-24
2015_06_18_19_F_05_1_002_sync,F05,kib.l,onset,ih,15.10893539,15.3743787,100,1529,1532,15,15,20,-47,-47
2015_06_18_19_F_05_1_002_sync,F05,cal.b,coda,ae,22.18733634,22.45277965,100,2237,2230,22,22,12,104,103
2015_06_18_19_F_05_1_002_sync,F05,tab.l,onset,ae,24.85893584,25.11064933,100,2502,2495,25,25,19,60,60
2015_06_18_19_F_05_1_002_sync,F05,kil.b,coda,ih,27.16912436,27.38727605,100,2727,2727,27,27,25,23,23
2015_06_18_19_F_05_1_002_sync,F05,kib.l,onset,ih,29.69108045,29.93211518,100,2989,2986,30,30,19,109,109
2015_06_18_19_F_05_1_002_sync,F05,al.b,coda,ae,39.19798425,39.48482659,100,3943,3942,39,39,18,214,214
2015_06_18_19_F_05_1_002_sync,F05,il.b,coda,ih,41.51509378,41.82782872,100,4171,4174,42,42,17,247,247
2015_06_18_19_F_05_1_002_sync,F05,tal.b,coda,ae,46.63792354,46.87438167,100,4684,4678,47,47,16,308,308
2015_06_18_19_F_05_1_003_sync,F05,tal.b,coda,ae,6.415426752,6.633578441,100,643,648,6,6,12,-56,-55
2015_06_18_19_F_05_1_003_sync,F05,kib.l,onset,ih,19.40243667,19.64347141,100,1958,1959,20,20,38,-184,-184
2015_06_18_19_F_05_1_003_sync,F05,cal.b,coda,ae,24.13861306,24.41320959,100,2433,2430,24,24,12,123,123
2015_06_18_19_F_05_1_003_sync,F05,il.b,coda,ih,28.78118037,29.0725578,100,2892,2892,29,29,17,119,119
2015_06_18_19_F_05_1_003_sync,F05,tib.l,onset,ih,31.42379463,31.6999167,100,3165,3167,32,32,40,-84,-83
2015_06_18_19_F_05_1_003_sync,F05,al.b,coda,ae,33.79944004,34.08929194,100,3401,3394,34,34,13,210,209
2015_06_18_19_F_05_1_003_sync,F05,tab.l,onset,ae,36.19034074,36.47103942,100,3635,3636,36,36,10,264,264
2015_06_18_19_F_05_1_003_sync,F05,til.b,coda,ih,38.66071036,38.90021955,100,3880,3878,39,39,30,88,88
2015_06_18_19_F_05_1_004_sync,F05,kib.l,onset,ih,4.305672169,4.536028148,100,449,446,4,4,24,-195,-195
2015_06_18_19_F_05_1_004_sync,F05,cal.b,coda,ae,15.4508336,15.73000674,100,1566,1558,16,16,13,27,26
2015_06_18_19_F_05_1_004_sync,F05,kil.b,coda,ih,17.73051119,17.97459699,100,1782,1788,18,18,14,38,39
2015_06_18_19_F_05_1_004_sync,F05,tib.l,onset,ih,20.17494667,20.44344106,100,2033,2029,20,20,27,-67,-67
2015_06_18_19_F_05_1_004_sync,F05,il.b,coda,ih,24.87992014,25.14078684,100,2500,2512,25,25,16,90,91
2015_06_18_19_F_05_1_004_sync,F05,al.b,coda,ae,29.61096867,29.89319288,100,2966,2974,30,30,13,167,167
2015_06_18_19_F_05_1_004_sync,F05,tal.b,coda,ae,32.0284959,32.27410724,100,3223,3215,32,32,14,182,182
2015_06_18_19_F_05_1_004_sync,F05,cab.l,onset,ae,41.37992137,41.62553272,100,4156,4155,42,42,34,76,76
2015_06_18_19_F_05_1_004_sync,F05,tab.l,onset,ae,43.89286517,44.16593616,100,4410,4407,44,44,31,131,131
2015_06_18_19_F_05_1_005_sync,F05,il.b,coda,ih,5.329186899,5.560305646,100,544,547,5,5,15,-96,-95
