source,speaker,srate,token,syllable,vowel,onset,offset,DeltaHeightMin,DeltaHeightMax,LaDuration_v1,LaDuration,comments,,
2015_06_16_21_F_04_1_008_sync,F04,100,cab.l,onset,ae,22.24145241,22.51687552,3,19,160,160,,,
2015_06_16_21_F_04_1_008_sync,F04,100,cab.l,onset,ae,32.44475873,32.70398048,7,17,100,100,,,
2015_06_16_21_F_04_1_009_sync,F04,100,tal.b,coda,ae,2.955316098,3.213187733,33,52,190,190,,,
2015_06_16_21_F_04_1_009_sync,F04,100,tab.l,onset,ae,14.70765416,14.94122376,1,15,140,140,,,
2015_06_16_21_F_04_1_009_sync,F04,100,tib.l,onset,ih,16.57801175,16.80888112,16,30,140,140,,,
2015_06_16_21_F_04_1_009_sync,F04,100,cal.b,coda,ae,24.35774667,24.57916525,1,13,120,120,,,
2015_06_16_21_F_04_1_009_sync,F04,100,cab.l,onset,ae,26.35198328,26.6490082,1,22,210,210,,,
2015_06_16_21_F_04_1_009_sync,F04,100,il.b,coda,ih,28.26073633,28.51590773,1,14,130,130,,,
2015_06_16_21_F_04_1_009_sync,F04,100,til.b,coda,ih,34.14150047,34.33861701,1,9,80,80,,,
2015_06_16_21_F_04_1_009_sync,F04,100,al.b,coda,ae,36.08742743,36.36734408,1,14,130,130,,,
2015_06_18_19_F_05_1_001_sync,F05,100,al.b,coda,ae,18.00908332,18.26689895,1,12,110,110,black - right dominant - 33,,
2015_06_18_19_F_05_1_001_sync,F05,100,kib.l,onset,ih,25.47749921,25.69641367,12,26,140,140,red - left dominant - 55,,
2015_06_18_19_F_05_1_001_sync,F05,100,tab.l,onset,ae,28.23348345,28.46841604,3,21,180,180,bad - 7,,
2015_06_18_19_F_05_1_001_sync,F05,100,til.b,coda,ih,30.5284869,30.72833216,5,23,180,180,,,
2015_06_18_19_F_05_1_001_sync,F05,100,il.b,coda,ih,35.29080877,35.52650413,3,10,70,70,,,
2015_06_18_19_F_05_1_001_sync,F05,100,tal.b,coda,ae,38.09366862,38.33088951,5,12,70,70,,,
2015_06_18_19_F_05_1_001_sync,F05,100,til.b,coda,ih,41.03035894,41.25079894,5,12,70,70,,,
2015_06_18_19_F_05_1_001_sync,F05,100,tab.l,onset,ae,43.59322864,43.82511015,19,36,170,170,,,
2015_06_18_19_F_05_1_001_sync,F05,100,tib.l,onset,ih,51.10557417,51.35576212,2,21,190,190,,,
2015_06_18_19_F_05_1_001_sync,F05,100,cal.b,onset,ae,55.97516464,56.29629003,1,12,110,110,,,
2015_06_18_19_F_05_1_002_sync,F05,100,cab.l,onset,ae,10.09570394,10.32758546,18,32,140,140,,,
2015_06_18_19_F_05_1_002_sync,F05,100,kil.b,coda,ih,12.46174439,12.7104068,6,15,90,90,,,
2015_06_18_19_F_05_1_002_sync,F05,100,kib.l,onset,ih,15.10893539,15.3743787,6,20,140,140,,,
2015_06_18_19_F_05_1_002_sync,F05,100,cal.b,coda,ae,22.18733634,22.45277965,3,12,90,90,,,
2015_06_18_19_F_05_1_002_sync,F05,100,tab.l,onset,ae,24.85893584,25.11064933,4,19,150,150,,,
2015_06_18_19_F_05_1_002_sync,F05,100,kil.b,coda,ih,27.16912436,27.38727605,4,25,210,210,,,
2015_06_18_19_F_05_1_002_sync,F05,100,kib.l,onset,ih,29.69108045,29.93211518,2,19,170,170,,,
2015_06_18_19_F_05_1_002_sync,F05,100,al.b,coda,ae,39.19798425,39.48482659,1,18,170,170,,,
2015_06_18_19_F_05_1_002_sync,F05,100,il.b,coda,ih,41.51509378,41.82782872,9,17,80,80,,,
2015_06_18_19_F_05_1_002_sync,F05,100,tal.b,coda,ae,46.63792354,46.87438167,1,16,150,150,,,
2015_06_18_19_F_05_1_003_sync,F05,100,tal.b,coda,ae,6.415426752,6.633578441,1,12,110,110,,,
2015_06_18_19_F_05_1_003_sync,F05,100,kib.l,onset,ih,19.40243667,19.64347141,13,38,250,250,,,
2015_06_18_19_F_05_1_003_sync,F05,100,cal.b,coda,ae,24.13861306,24.41320959,3,12,90,90,,,
2015_06_18_19_F_05_1_003_sync,F05,100,il.b,coda,ih,28.78118037,29.0725578,10,17,70,70,,,
2015_06_18_19_F_05_1_003_sync,F05,100,tib.l,onset,ih,31.42379463,31.6999167,10,40,300,300,,,
2015_06_18_19_F_05_1_003_sync,F05,100,al.b,coda,ae,33.79944004,34.08929194,1,13,120,120,,,
2015_06_18_19_F_05_1_003_sync,F05,100,tab.l,onset,ae,36.19034074,36.47103942,1,10,90,90,,,
2015_06_18_19_F_05_1_003_sync,F05,100,til.b,coda,ih,38.66071036,38.90021955,5,30,250,250,,,
2015_06_18_19_F_05_1_004_sync,F05,100,kib.l,onset,ih,4.305672169,4.536028148,12,24,120,120,,,
2015_06_18_19_F_05_1_004_sync,F05,100,cal.b,coda,ae,15.4508336,15.73000674,2,13,110,110,,,
2015_06_18_19_F_05_1_004_sync,F05,100,kil.b,coda,ih,17.73051119,17.97459699,5,14,90,90,,,
2015_06_18_19_F_05_1_004_sync,F05,100,tib.l,onset,ih,20.17494667,20.44344106,9,27,180,180,,,
2015_06_18_19_F_05_1_004_sync,F05,100,il.b,coda,ih,24.87992014,25.14078684,8,16,80,80,,,
2015_06_18_19_F_05_1_004_sync,F05,100,al.b,coda,ae,29.61096867,29.89319288,1,13,120,120,,,
2015_06_18_19_F_05_1_004_sync,F05,100,tal.b,coda,ae,32.0284959,32.27410724,1,14,130,130,,,
2015_06_18_19_F_05_1_004_sync,F05,100,cab.l,onset,ae,41.37992137,41.62553272,18,34,160,160,,,
2015_06_18_19_F_05_1_004_sync,F05,100,tab.l,onset,ae,43.89286517,44.16593616,5,31,260,260,,,
2015_06_18_19_F_05_1_005_sync,F05,100,il.b,coda,ih,5.329186899,5.560305646,8,15,70,70,,,
2015_06_18_19_F_05_1_005_sync,F05,100,tab.l,onset,ae,10.15308198,10.3849635,6,23,170,170,,,
2015_06_18_19_F_05_1_005_sync,F05,100,til.b,coda,ih,12.48310251,12.69820312,16,26,100,100,,,
2015_06_18_19_F_05_1_005_sync,F05,100,kil.b,coda,ih,15.01421188,15.28118073,2,10,80,80,,,
2015_06_18_19_F_05_1_005_sync,F05,100,cab.l,onset,ae,21.9206506,22.22728339,1,8,70,70,,,
2015_06_18_19_F_05_1_005_sync,F05,100,tal.b,coda,ae,24.24983774,24.50612784,1,20,190,190,,,
2015_06_18_19_F_05_1_005_sync,F05,100,tib.l,onset,ih,30.93202253,31.17305727,3,21,180,180,,,
2015_06_18_19_F_05_1_005_sync,F05,100,al.b,coda,ae,33.83743966,34.11203619,1,18,170,170,,,
2015_06_18_19_F_05_1_005_sync,F05,100,kib.l,onset,ih,36.16676776,36.45967073,8,22,140,140,,,
2015_06_18_19_F_05_1_005_sync,F05,100,cal.b,coda,ae,42.96475235,43.20578709,1,9,80,80,,,
2015_06_18_19_F_05_1_006_sync,F05,100,al.b,coda,ae,7.206615901,7.491891186,1,14,130,130,,,
2015_06_18_19_F_05_1_006_sync,F05,100,tib.l,onset,ih,9.548007076,9.761582156,3,19,160,160,,,
2015_06_18_19_F_05_1_006_sync,F05,100,tal.b,coda,ae,11.63546709,11.90853809,1,18,170,170,,,
2015_06_18_19_F_05_1_006_sync,F05,100,cab.l,onset,ae,15.90775175,16.17929721,1,12,110,110,,,
2015_06_18_19_F_05_1_006_sync,F05,100,il.b,coda,ih,20.19667633,20.44991535,1,14,130,130,,,
2015_06_18_19_F_05_1_006_sync,F05,100,cal.b,coda,ae,24.86420334,25.13117219,1,15,140,140,,,
2015_06_18_19_F_05_1_006_sync,F05,100,kib.l,onset,ih,27.3010111,27.55425012,1,9,80,80,,,
2015_06_18_19_F_05_1_006_sync,F05,100,kil.b,coda,ih,32.07394118,32.31192484,4,10,60,60,,,
2015_06_18_19_F_05_1_006_sync,F05,100,tab.l,onset,ae,34.56927063,34.83318841,7,22,150,150,,,
2015_06_18_19_F_05_1_006_sync,F05,100,til.b,coda,ih,39.30642108,39.49558758,1,23,220,220,,,
